"covariateId","covariateName","analysisId","conceptId","covariateValue"
77670201,"condition_era any time prior through 0 days relative to index: Chest pain",201,77670,-0.080480745130788
1539403401,"drug_era any time prior through 0 days relative to index: Simvastatin",401,1539403,-0.0410570969213386
40482801201,"condition_era any time prior through 0 days relative to index: Type II diabetes mellitus uncontrolled",201,40482801,-0.0357939772962849
440922801,"observation any time prior through 0 days relative to index: Diabetic on insulin",801,440922,-0.00390079811329056
435991801,"observation any time prior through 0 days relative to index: Accidental fall",801,435991,0
432515801,"observation any time prior through 0 days relative to index: Poisoning by sulfonamide",801,432515,0
2614672801,"observation any time prior through 0 days relative to index: Ambulance service, conventional air services, transport, one way (rotary wing)",801,2614672,0
443560801,"observation any time prior through 0 days relative to index: Anaphylaxis due to fish",801,443560,0
437432801,"observation any time prior through 0 days relative to index: Poisoning by typhus vaccine",801,437432,0
433080801,"observation any time prior through 0 days relative to index: Poisoning by cardiac rhythm regulator",801,433080,0
443280801,"observation any time prior through 0 days relative to index: Suicide - jumping from a high place",801,443280,0
437194801,"observation any time prior through 0 days relative to index: Poisoning by viral AND/OR rickettsial vaccine",801,437194,0
2617803801,"observation any time prior through 0 days relative to index: Patient with documented results of a central dual-energy x-ray absorptiometry (dxa) ever being performed",801,2617803,0
4058421801,"observation any time prior through 0 days relative to index: H/O: upper limb amputation",801,4058421,0
2106442801,"observation any time prior through 0 days relative to index: ",801,2106442,0
2617827801,"observation any time prior through 0 days relative to index: Eligible clinician attests to documenting in the medical record they obtained, updated, or reviewed the patient's current medications",801,2617827,0
2721977801,"observation any time prior through 0 days relative to index: Hearing service, miscellaneous",801,2721977,0
2614676801,"observation any time prior through 0 days relative to index: Fixed wing air mileage, per statute mile",801,2614676,0
436311801,"observation any time prior through 0 days relative to index: Local anti-infective and anti-inflammatory poisoning",801,436311,0
2106683801,"observation any time prior through 0 days relative to index: ",801,2106683,0
2107334801,"observation any time prior through 0 days relative to index: ",801,2107334,0
2108694801,"observation any time prior through 0 days relative to index: ",801,2108694,0
4023168801,"observation any time prior through 0 days relative to index: Lives alone",801,4023168,0
2106302801,"observation any time prior through 0 days relative to index: ",801,2106302,0
434845801,"observation any time prior through 0 days relative to index: Accidents due to excessive heat",801,434845,0
443007801,"observation any time prior through 0 days relative to index: Motor vehicle traffic accident due to motor vehicle going out of control due to excessive speed, without collision on the highway, motor cyclist injured",801,443007,0
4177768801,"observation any time prior through 0 days relative to index: Uric acid drug overdose",801,4177768,0
4253306801,"observation any time prior through 0 days relative to index: Suspected neurological disease",801,4253306,0
443505801,"observation any time prior through 0 days relative to index: Oxazolidine derivative poisoning",801,443505,0
443567801,"observation any time prior through 0 days relative to index: Anaphylaxis due to vegetable",801,443567,0
40479343801,"observation any time prior through 0 days relative to index: Exposure to Human poliovirus",801,40479343,0
2721637801,"observation any time prior through 0 days relative to index: Clinic visit/encounter, all-inclusive",801,2721637,0
440923801,"observation any time prior through 0 days relative to index: Poisoning by surface (topical) AND/OR infiltration anesthetic",801,440923,0
198023801,"observation any time prior through 0 days relative to index: Unilateral traumatic amputation of leg at OR above knee with complication",801,198023,0
4305831801,"observation any time prior through 0 days relative to index: Exposure to potentially harmful entity",801,4305831,0
441833801,"observation any time prior through 0 days relative to index: Pathological drug intoxication",801,441833,0
2720577801,"observation any time prior through 0 days relative to index: Chemotherapy administration by infusion technique only, per visit",801,2720577,0
2720854801,"observation any time prior through 0 days relative to index: Low osmolar contrast material, 400 or greater mg/ml iodine concentration, per ml",801,2720854,0
4014829801,"observation any time prior through 0 days relative to index: Consultation",801,4014829,0
2414343801,"observation any time prior through 0 days relative to index: ",801,2414343,0
441466801,"observation any time prior through 0 days relative to index: Accident caused by hurricane",801,441466,0
76819801,"observation any time prior through 0 days relative to index: Congenital unilateral subluxation of hip",801,76819,0
